,N,Degrees of Freedom,Sum of Squares,F Ratio,p-value
 ,108.0,,,,
row,,2.0,0.26764755793686845,0.03730584582629751,0.9634005844421052
column,,35.0,33.30156234382892,4.641712258277936,2.415226663110559e-08
error,,70.0,7.174413339482555,,
total,,107.0,40.74362324124834,,
