S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death,p_death
4,2020-03-12,India,74,71.0,3.0,0.0,0.0
5,2020-03-13,India,75,71.0,3.0,1.0,0.25
6,2020-03-14,India,84,72.0,10.0,2.0,0.16666666666666666
7,2020-03-15,India,107,95.0,10.0,2.0,0.16666666666666666
8,2020-03-16,India,114,99.0,13.0,2.0,0.13333333333333333
9,2020-03-17,India,137,120.0,14.0,3.0,0.17647058823529413
10,2020-03-18,India,146,129.0,14.0,3.0,0.17647058823529413
11,2020-03-19,India,166,148.0,15.0,3.0,0.16666666666666666
12,2020-03-20,India,195,171.0,20.0,4.0,0.16666666666666666
13,2020-03-21,India,258,231.0,23.0,4.0,0.14814814814814814
14,2020-03-22,India,360,329.0,24.0,7.0,0.22580645161290322
15,2020-03-23,India,433,402.0,24.0,7.0,0.22580645161290322
16,2020-03-24,India,492,446.0,37.0,9.0,0.1956521739130435
17,2020-03-25,India,519,469.0,40.0,10.0,0.2
18,2020-03-26,India,649,593.0,43.0,13.0,0.23214285714285715
19,2020-03-27,India,724,640.0,67.0,17.0,0.20238095238095238
20,2020-03-28,India,909,810.0,80.0,19.0,0.1919191919191919
21,2020-03-29,India,979,867.0,87.0,25.0,0.22321428571428573
22,2020-03-30,India,1071,942.0,100.0,29.0,0.2248062015503876
23,2020-03-31,India,1397,1238.0,124.0,35.0,0.22012578616352202
24,2020-04-01,India,1637,1466.0,133.0,38.0,0.2222222222222222
25,2020-04-02,India,1965,1764.0,151.0,50.0,0.24875621890547264
26,2020-04-03,India,2301,2088.0,157.0,56.0,0.26291079812206575
27,2020-04-04,India,2902,2650.0,184.0,68.0,0.2698412698412698
28,2020-04-05,India,3374,3030.0,267.0,77.0,0.2238372093023256
29,2020-04-06,India,4067,3666.0,292.0,109.0,0.2718204488778055
30,2020-04-07,India,4421,3981.0,326.0,114.0,0.2590909090909091
31,2020-04-08,India,5194,4643.0,402.0,149.0,0.27041742286751363
32,2020-04-09,India,5734,5095.0,473.0,166.0,0.2597809076682316
33,2020-04-10,India,6412,5709.0,504.0,199.0,0.283072546230441
34,2020-04-11,India,7447,6565.0,643.0,239.0,0.2709750566893424
35,2020-04-12,India,8356,7367.0,716.0,273.0,0.27603640040444893
36,2020-04-13,India,9152,7987.0,857.0,308.0,0.26437768240343346
37,2020-04-14,India,10363,8988.0,1036.0,339.0,0.24654545454545454
38,2020-04-15,India,11439,9756.0,1306.0,377.0,0.22400475341651813
39,2020-04-16,India,12380,10477.0,1489.0,414.0,0.21755123489227535
40,2020-04-17,India,13387,11201.0,1749.0,437.0,0.19990850869167429
41,2020-04-18,India,14378,11906.0,1992.0,480.0,0.1941747572815534
42,2020-04-19,India,15712,12974.0,2231.0,507.0,0.18517165814463113
43,2020-04-20,India,17265,14175.0,2547.0,543.0,0.17572815533980582
44,2020-04-21,India,18601,14759.0,3252.0,590.0,0.15356585111920876
45,2020-04-22,India,19984,15474.0,3870.0,640.0,0.1419068736141907
46,2020-04-23,India,21393,16454.0,4258.0,681.0,0.1378821623810488
47,2020-04-24,India,23077,17610.0,4749.0,718.0,0.13133345527711726
48,2020-04-25,India,24506,18668.0,5063.0,775.0,0.13275094210346008
49,2020-04-26,India,26496,19868.0,5804.0,824.0,0.12432106216053108
50,2020-04-27,India,27892,20835.0,6185.0,872.0,0.12356525435737566
51,2020-04-28,India,29435,21632.0,6869.0,934.0,0.11969755222350378
52,2020-04-29,India,31332,22629.0,7696.0,1007.0,0.11570722739285304
53,2020-04-30,India,33050,23651.0,8325.0,1074.0,0.11426747526332588
54,2020-05-01,India,35043,25007.0,8889.0,1147.0,0.11428856117975289
55,2020-05-02,India,37336,26167.0,9951.0,1218.0,0.10905183991404781
56,2020-05-03,India,39980,28046.0,10633.0,1301.0,0.1090162560750796
57,2020-05-04,India,42533,29453.0,11707.0,1373.0,0.10496941896024464
58,2020-05-05,India,46433,32138.0,12727.0,1568.0,0.10968870234347675
59,2020-05-06,India,49390,33513.0,14183.0,1694.0,0.10669521949990553
60,2020-05-07,India,52951,35901.0,15267.0,1783.0,0.10457478005865102
61,2020-05-08,India,56341,37915.0,16540.0,1886.0,0.10235536741560838
62,2020-05-09,India,59662,39834.0,17847.0,1981.0,0.09990921928585839
63,2020-05-10,India,62939,41472.0,19358.0,2109.0,0.09824381608981227
64,2020-05-11,India,67152,44029.0,20917.0,2206.0,0.09540284565151581
65,2020-05-12,India,70756,46008.0,22455.0,2293.0,0.09265395183449168
66,2020-05-13,India,74281,47480.0,24386.0,2415.0,0.09010857803813291
67,2020-05-14,India,78003,49219.0,26235.0,2549.0,0.08855614230127849
68,2020-05-15,India,81970,51401.0,27920.0,2649.0,0.08665641663122771
69,2020-05-16,India,85940,53035.0,30153.0,2752.0,0.08363470597173682
70,2020-05-17,India,90927,53946.0,34109.0,2872.0,0.07766150185230253
71,2020-05-18,India,96169,56316.0,36824.0,3029.0,0.0760043158607884
72,2020-05-19,India,101139,58802.0,39174.0,3163.0,0.07471006448260387
73,2020-05-20,India,106750,61149.0,42298.0,3303.0,0.0724326220916208
74,2020-05-21,India,112359,63624.0,45300.0,3435.0,0.07048322560787934
75,2020-05-22,India,118447,66330.0,48534.0,3583.0,0.06874916054262525
76,2020-05-23,India,125101,69597.0,51784.0,3720.0,0.06702219659844336
77,2020-05-24,India,131868,73560.0,54441.0,3867.0,0.0663202305001029
78,2020-05-25,India,138845,77103.0,57721.0,4021.0,0.06512584626348353
79,2020-05-26,India,145380,80722.0,60491.0,4167.0,0.0644467815274212
80,2020-05-27,India,151767,83004.0,64426.0,4337.0,0.06307171007664006
81,2020-05-28,India,158333,86110.0,67692.0,4531.0,0.06273624745579663
82,2020-05-29,India,165799,89987.0,71106.0,4706.0,0.06207460560333457
83,2020-05-30,India,173763,86422.0,82370.0,4971.0,0.05691485098636379
84,2020-05-31,India,182143,89995.0,86984.0,5164.0,0.05604028302296306
85,2020-06-01,India,190535,93322.0,91819.0,5394.0,0.055486406139096625
86,2020-06-02,India,198706,97581.0,95527.0,5598.0,0.055357231149567365
87,2020-06-03,India,207615,101497.0,100303.0,5815.0,0.05479748958706346
88,2020-06-04,India,216919,106737.0,104107.0,6075.0,0.055136047630284436
89,2020-06-05,India,226770,110960.0,109462.0,6348.0,0.054813919350660566
90,2020-06-06,India,236657,115942.0,114073.0,6642.0,0.05502215963219152
91,2020-06-07,India,246628,120406.0,119293.0,6929.0,0.054895343125604096
92,2020-06-08,India,256611,125381.0,124095.0,7135.0,0.05437018974319897
93,2020-06-09,India,266598,129917.0,129215.0,7466.0,0.05462353948244453
94,2020-06-10,India,276583,133632.0,135206.0,7745.0,0.054179404131485615
95,2020-06-11,India,286579,137448.0,141029.0,8102.0,0.05432807397522983
96,2020-06-12,India,297535,141842.0,147195.0,8498.0,0.054581773104763864
97,2020-06-13,India,308993,145779.0,154330.0,8884.0,0.054431605131912704
98,2020-06-14,India,320922,149348.0,162379.0,9195.0,0.05359203608938417
99,2020-06-15,India,332424,153106.0,169798.0,9520.0,0.05309004115593527
100,2020-06-16,India,343091,153178.0,180013.0,9900.0,0.05212913281344616
101,2020-06-17,India,354065,155227.0,186935.0,11903.0,0.05986280288476046
102,2020-06-18,India,366946,160384.0,194325.0,12237.0,0.0592412931710576
103,2020-06-19,India,380532,163248.0,204711.0,12573.0,0.05786436184900867
104,2020-06-20,India,395048,168269.0,213831.0,12948.0,0.057095233685658726
105,2020-06-21,India,410461,169451.0,227756.0,13254.0,0.0549935687315879
106,2020-06-22,India,425282,174387.0,237196.0,13699.0,0.054600530102234
107,2020-06-23,India,440215,178014.0,248190.0,14011.0,0.05343610436268359
108,2020-06-24,India,456183,183022.0,258685.0,14476.0,0.05299438792506983
109,2020-06-25,India,473105,186514.0,271697.0,14894.0,0.051969531492614914
110,2020-06-26,India,490401,189463.0,285637.0,15301.0,0.05084435996783391
111,2020-06-27,India,508953,197387.0,295881.0,15685.0,0.0503424635550734
112,2020-06-28,India,528859,203051.0,309713.0,16095.0,0.049400260275990766
113,2020-06-29,India,548318,210120.0,321723.0,16475.0,0.0487140669075512
114,2020-06-30,India,566840,215125.0,334822.0,16893.0,0.04803036549478982
115,2020-07-01,India,585493,220114.0,347979.0,17400.0,0.04762178450321447
116,2020-07-02,India,604641,226947.0,359860.0,17834.0,0.04721811837095638
117,2020-07-03,India,625544,227439.0,379892.0,18213.0,0.045749237010336466
118,2020-07-04,India,648315,235433.0,394227.0,18655.0,0.04518240078279024
119,2020-07-05,India,673165,244814.0,409083.0,19268.0,0.04498180230698656
120,2020-07-06,India,697413,253287.0,424433.0,19693.0,0.04434102034107438
121,2020-07-07,India,719665,259557.0,439948.0,20160.0,0.04381579976874995
122,2020-07-08,India,742417,264944.0,456831.0,20642.0,0.04323176389031422
123,2020-07-09,India,767296,269789.0,476378.0,21129.0,0.042469754194413345
124,2020-07-10,India,793802,276685.0,495513.0,21604.0,0.04177777949670964
125,2020-07-11,India,820916,283407.0,515386.0,22123.0,0.04115838060385966
126,2020-07-12,India,849553,292258.0,534621.0,22674.0,0.04068581272037251
127,2020-07-13,India,878254,301609.0,553471.0,23174.0,0.040187637107752604
128,2020-07-14,India,906752,311565.0,571460.0,23727.0,0.03986478199288627
129,2020-07-15,India,936181,319840.0,592032.0,24309.0,0.03944082902159681
130,2020-07-16,India,968876,331146.0,612815.0,24915.0,0.03906825772662412
131,2020-07-17,India,1003832,342473.0,635757.0,25602.0,0.038711199212530564
132,2020-07-18,India,1038716,358692.0,653751.0,26273.0,0.038635401103490466
133,2020-07-19,India,1077618,373379.0,677423.0,26816.0,0.038077982048707895
134,2020-07-20,India,1118043,390459.0,700087.0,27497.0,0.037792199938426356
135,2020-07-21,India,1155191,402529.0,724578.0,28084.0,0.03731289742274753
136,2020-07-22,India,1192915,411133.0,753050.0,28732.0,0.0367519334034296
137,2020-07-23,India,1238635,426167.0,782607.0,29861.0,0.03675344752039465
138,2020-07-24,India,1287945,440135.0,817209.0,30601.0,0.036094172043264414
139,2020-07-25,India,1336861,456071.0,849432.0,31358.0,0.03560212990610702
140,2020-07-26,India,1385522,467882.0,885577.0,32063.0,0.03494071749269866
141,2020-07-27,India,1435453,485114.0,917568.0,32771.0,0.0344834843145446
142,2020-07-28,India,1483156,496988.0,952743.0,33425.0,0.03389381930867763
143,2020-07-29,India,1531669,509447.0,988029.0,34193.0,0.0334496811847133
144,2020-07-30,India,1583792,528242.0,1020582.0,34968.0,0.03312775330396476
145,2020-07-31,India,1638870,545318.0,1057805.0,35747.0,0.032688889051458
146,2020-08-01,India,1695988,565103.0,1094374.0,36511.0,0.03228533405253408
147,2020-08-02,India,1750723,567730.0,1145629.0,37364.0,0.031584295088812865
148,2020-08-03,India,1803695,579357.0,1186203.0,38135.0,0.03114744457821288
149,2020-08-04,India,1855745,586298.0,1230509.0,38938.0,0.030673198644764216
150,2020-08-05,India,1908254,586244.0,1282215.0,39795.0,0.03010189030340164
151,2020-08-06,India,1964536,595501.0,1328336.0,40699.0,0.029728239234205114
152,2020-08-07,India,2027074,607384.0,1378105.0,41585.0,0.029291605913967133
153,2020-08-08,India,2088611,619088.0,1427005.0,42518.0,0.02893319805134047
154,2020-08-09,India,2153010,628747.0,1480884.0,43379.0,0.028458999529608734
155,2020-08-10,India,2215074,634945.0,1535743.0,44386.0,0.0280901116301264
156,2020-08-11,India,2268675,639929.0,1583489.0,45257.0,0.027786407457025222
157,2020-08-12,India,2329638,643948.0,1639599.0,46091.0,0.02734251256162165
158,2020-08-13,India,2396637,653622.0,1695982.0,47033.0,0.026983703525213495
159,2020-08-14,India,2461190,661595.0,1751555.0,48040.0,0.02669489524031796
160,2020-08-15,India,2526192,668220.0,1808936.0,49036.0,0.02639221689024377
161,2020-08-16,India,2589682,677444.0,1862258.0,49980.0,0.02613691391971083
162,2020-08-17,India,2647663,676900.0,1919842.0,50921.0,0.025838215960011426
163,2020-08-18,India,2702742,673166.0,1977779.0,51797.0,0.025521094061025554
164,2020-08-19,India,2767273,676514.0,2037870.0,52889.0,0.025296554983142486
165,2020-08-20,India,2836925,686395.0,2096664.0,53866.0,0.025047778919615165
166,2020-08-21,India,2905823,692028.0,2158946.0,54849.0,0.02477600681183217
167,2020-08-22,India,2975701,697330.0,2222577.0,55794.0,0.02448854905544356
168,2020-08-23,India,3044940,707668.0,2280566.0,56706.0,0.02426161781769516
169,2020-08-24,India,3106348,710771.0,2338035.0,57542.0,0.024020100376652472
170,2020-08-25,India,3167323,704348.0,2404585.0,58390.0,0.023707102183335195
171,2020-08-26,India,3234474,707267.0,2467758.0,59449.0,0.023523597394277555
172,2020-08-27,India,3310234,725991.0,2523771.0,60472.0,0.02340027621241501
173,2020-08-28,India,3387500,742023.0,2583948.0,61529.0,0.023258187464869285
174,2020-08-29,India,3463972,752424.0,2648998.0,62550.0,0.023068003959361958
175,2020-08-30,India,3542733,765302.0,2713933.0,63498.0,0.022862134108822145
176,2020-08-31,India,3621245,781975.0,2774801.0,64469.0,0.02270618856255305
177,2020-09-01,India,3691166,785996.0,2839882.0,65288.0,0.02247303944347491
178,2020-09-02,India,3769523,801282.0,2901908.0,66333.0,0.022347578919636242
179,2020-09-03,India,3853406,815538.0,2970492.0,67376.0,0.022178712175775907
180,2020-09-04,India,3936747,831124.0,3037151.0,68472.0,0.022047750161561786
181,2020-09-05,India,4023179,846395.0,3107223.0,69561.0,0.021896672861610986
182,2020-09-06,India,4113811,862320.0,3180865.0,70626.0,0.021721111945258345
183,2020-09-07,India,4204613,882542.0,3250429.0,71642.0,0.021565463230617286
184,2020-09-08,India,4280422,883697.0,3323950.0,72775.0,0.021425049128204372
185,2020-09-09,India,4370128,897394.0,3398844.0,73890.0,0.02127718391330865
186,2020-09-10,India,4465863,919018.0,3471783.0,75062.0,0.02116303362565886
187,2020-09-11,India,4562414,943480.0,3542663.0,76271.0,0.021075543240081197
188,2020-09-12,India,4659984,958316.0,3624196.0,77472.0,0.020928943384441824
189,2020-09-13,India,4754356,973175.0,3702595.0,78586.0,0.020783453635253114
190,2020-09-14,India,4846427,986598.0,3780107.0,79722.0,0.020654282871080558
191,2020-09-15,India,4930236,990061.0,3859399.0,80776.0,0.020500612282449385
192,2020-09-16,India,5020359,995933.0,3942360.0,82066.0,0.02039197639613699
193,2020-09-17,India,5118253,1009976.0,4025079.0,83198.0,0.020251312168093828
194,2020-09-18,India,5214677,1017754.0,4112551.0,84372.0,0.020103299488696838
195,2020-09-19,India,5308014,1013964.0,4208431.0,85619.0,0.019938985340180015
196,2020-09-20,India,5400619,1010824.0,4303043.0,86752.0,0.019762198462570577
197,2020-09-21,India,5487580,1003299.0,4396399.0,87882.0,0.019597790593408396
198,2020-09-22,India,5562663,975861.0,4497867.0,88935.0,0.019389326157963654
199,2020-09-23,India,5646010,968377.0,4587613.0,90020.0,0.01924477615067279
200,2020-09-24,India,5732518,966382.0,4674987.0,91149.0,0.019124296914733444
201,2020-09-25,India,5818570,970116.0,4756164.0,92290.0,0.019034933609765093
202,2020-09-26,India,5903932,960969.0,4849584.0,93379.0,0.018891300622723657
203,2020-09-27,India,5992532,956402.0,4941627.0,94503.0,0.018765004080514205
204,2020-09-28,India,6074702,962640.0,5016520.0,95542.0,0.018689522936145925
205,2020-09-29,India,6145291,947576.0,5101397.0,96318.0,0.01853083518430695
206,2020-09-30,India,6225763,940441.0,5187825.0,97497.0,0.018446747426173846
207,2020-10-01,India,6312584,940705.0,5273201.0,98678.0,0.01836936386690765
208,2020-10-02,India,6394068,942217.0,5352078.0,99773.0,0.01830075693558023
209,2020-10-03,India,6473544,944996.0,5427706.0,100842.0,0.018240232335868297
210,2020-10-04,India,6549373,937625.0,5509966.0,101782.0,0.018137307662425325
211,2020-10-05,India,6623815,934427.0,5586703.0,102685.0,0.01804851418113864
212,2020-10-06,India,6685082,919023.0,5662490.0,103569.0,0.017961834937866576
213,2020-10-07,India,6757131,907883.0,5744693.0,104555.0,0.017874947343658534
214,2020-10-08,India,6835655,902425.0,5827704.0,105526.0,0.017785590647927015
215,2020-10-09,India,6906151,893592.0,5906069.0,106490.0,0.01771126071278469
216,2020-10-10,India,6979423,883185.0,5988822.0,107416.0,0.017620046986354537
217,2020-10-11,India,7053806,867496.0,6077976.0,108334.0,0.017511893196428888
218,2020-10-12,India,7120538,861853.0,6149535.0,109150.0,0.017439765701581084
219,2020-10-13,India,7175880,838729.0,6227295.0,109856.0,0.017335234713517163
220,2020-10-14,India,7239389,826876.0,6301927.0,110586.0,0.017245345155635552
221,2020-10-15,India,7307097,812390.0,6383441.0,111266.0,0.017131796707688277
222,2020-10-16,India,7370468,804528.0,6453779.0,112161.0,0.017082245649518577
223,2020-10-17,India,7432680,795087.0,6524595.0,112998.0,0.017023942263407834
224,2020-10-18,India,7494551,783311.0,6597209.0,114031.0,0.016991047854047835
225,2020-10-19,India,7550273,772055.0,6663608.0,114610.0,0.016908573905412897
226,2020-10-20,India,7597063,748538.0,6733328.0,115197.0,0.016820702268006613
227,2020-10-21,India,7651107,740090.0,6795103.0,115914.0,0.016772350581687183
228,2020-10-22,India,7706946,715812.0,6874518.0,116616.0,0.01668055568667401
229,2020-10-23,India,7761312,695509.0,6948497.0,117306.0,0.016601934698717187
230,2020-10-24,India,7814682,680680.0,7016046.0,117956.0,0.016534337949442684
231,2020-10-25,India,7864811,668154.0,7078123.0,118534.0,0.01647070299445979
232,2020-10-26,India,7909959,653717.0,7137228.0,119014.0,0.016401602923386514
233,2020-10-27,India,7946429,625857.0,7201070.0,119502.0,0.016324134234319394
234,2020-10-28,India,7990322,610803.0,7259509.0,120010.0,0.016262577547398415
235,2020-10-29,India,8040203,603687.0,7315989.0,120527.0,0.016207455211553368
236,2020-10-30,India,8088851,594386.0,7373375.0,121090.0,0.01615725738928663
237,2020-10-31,India,8137119,582649.0,7432829.0,121641.0,0.016101857575713453
238,2020-11-01,India,8184082,570458.0,7491513.0,122111.0,0.016038485746078347
239,2020-11-02,India,8229313,561908.0,7544798.0,122607.0,0.01599067741954416
240,2020-11-03,India,8267623,541405.0,7603121.0,123097.0,0.015932374675423345
241,2020-11-04,India,8313876,533787.0,7656478.0,123611.0,0.015888121588326302
242,2020-11-05,India,8364086,527962.0,7711809.0,124315.0,0.015864348241554114
243,2020-11-06,India,8411724,520773.0,7765966.0,124985.0,0.01583902878119507
244,2020-11-07,India,8462080,516632.0,7819886.0,125562.0,0.015803010730169022
245,2020-11-08,India,8507754,512665.0,7868968.0,126121.0,0.015774808760727992
246,2020-11-09,India,8553657,509673.0,7917373.0,126611.0,0.015739837374117105
247,2020-11-10,India,8591730,505265.0,7959406.0,127059.0,0.015712551776332427
248,2020-11-11,India,8636011,494657.0,8013783.0,127571.0,0.015669506571020005
249,2020-11-12,India,8683916,489294.0,8066501.0,128121.0,0.015634766313809226
250,2020-11-13,India,8728795,484547.0,8115580.0,128668.0,0.015607002603512169
251,2020-11-14,India,8773479,480719.0,8163572.0,129188.0,0.015578408153618337
252,2020-11-15,India,8814579,479216.0,8205728.0,129635.0,0.015552412054520001
253,2020-11-16,India,8845127,465478.0,8249579.0,130070.0,0.015522129864866655
254,2020-11-17,India,8874290,453401.0,8290370.0,130519.0,0.015499432423346277
255,2020-11-18,India,8912907,446805.0,8335109.0,130993.0,0.015472646089073814
256,2020-11-19,India,8958483,443303.0,8383602.0,131578.0,0.015452168950039811
257,2020-11-20,India,9004365,443794.0,8428409.0,132162.0,0.015438456149712444
258,2020-11-21,India,9050597,439747.0,8478124.0,132726.0,0.015413809321960086
259,2020-11-22,India,9095806,440962.0,8521617.0,133227.0,0.015393345044694046
260,2020-11-23,India,9139865,443486.0,8562641.0,133738.0,0.015378584581007796
261,2020-11-24,India,9177840,438667.0,8604955.0,134218.0,0.015358203802579488
262,2020-11-25,India,9222216,444746.0,8642771.0,134699.0,0.015345993777250164
263,2020-11-26,India,9266705,452344.0,8679138.0,135223.0,0.015341214184442866
264,2020-11-27,India,9309787,455555.0,8718517.0,135715.0,0.015327698664322327
265,2020-11-28,India,9351109,454940.0,8759969.0,136200.0,0.015309960950606941
266,2020-11-29,India,9392919,453956.0,8802267.0,136696.0,0.015292154134657454
267,2020-11-30,India,9431691,446952.0,8847600.0,137139.0,0.015263548557170109
268,2020-12-01,India,9462809,435603.0,8889585.0,137621.0,0.015245137864362462
269,2020-12-02,India,9499413,428644.0,8932647.0,138122.0,0.015227154390107387
270,2020-12-03,India,9534964,422943.0,8973373.0,138648.0,0.015215943861411205
271,2020-12-04,India,9571559,416082.0,9016289.0,139188.0,0.01520270325620391
272,2020-12-05,India,9608211,409689.0,9058822.0,139700.0,0.015187222469000998
273,2020-12-06,India,9644222,403248.0,9100792.0,140182.0,0.015169613073253967
274,2020-12-07,India,9677203,396729.0,9139901.0,140573.0,0.015147178904870592
275,2020-12-08,India,9703770,383866.0,9178946.0,140958.0,0.015124404714898352
276,2020-12-09,India,9735850,378909.0,9215581.0,141360.0,0.01510750147938306
277,2020-12-10,India,9767371,372293.0,9253306.0,141772.0,0.015090029055639559
278,2020-12-11,India,9796769,363749.0,9290834.0,142186.0,0.015073221513364755
279,2020-12-12,India,9826775,359819.0,9324328.0,142628.0,0.015065877564023748
280,2020-12-13,India,9857029,356546.0,9357464.0,143019.0,0.015053866208696969
281,2020-12-14,India,9884100,352586.0,9388159.0,143355.0,0.015040108003828143
282,2020-12-15,India,9906165,339820.0,9422636.0,143709.0,0.01502235179684613
283,2020-12-17,India,9956557,322366.0,9489740.0,144451.0,0.01499357859938629
284,2020-12-18,India,9979447,313831.0,9520827.0,144789.0,0.014979800563150864
285,2020-12-19,India,10004599,308751.0,9550712.0,145136.0,0.014968881525370447
286,2020-12-20,India,10031223,305344.0,9580402.0,145477.0,0.014957722587336322
287,2020-12-21,India,10055560,303639.0,9606111.0,145810.0,0.014951925882090308
288,2020-12-22,India,10075116,292518.0,9636487.0,146111.0,0.014935807440927247
289,2020-12-23,India,10099066,289240.0,9663382.0,146444.0,0.014928297403032429
290,2020-12-24,India,10123778,283849.0,9693173.0,146756.0,0.014914335255874305
291,2020-12-25,India,10146845,281919.0,9717834.0,147092.0,0.014910603485520316
292,2020-12-26,India,10169118,281667.0,9740108.0,147343.0,0.014902020753377185
293,2020-12-27,India,10187850,278690.0,9761538.0,147622.0,0.01489752915484259
294,2020-12-28,India,10207871,277301.0,9782669.0,147901.0,0.014893505609446387
295,2020-12-29,India,10224303,268581.0,9807569.0,148153.0,0.014881190937231874
296,2020-12-30,India,10244852,262272.0,9834141.0,148439.0,0.01486980319716947
297,2020-12-31,India,10266674,257656.0,9860280.0,148738.0,0.014860398892278942
298,2021-01-03,India,10323965,247220.0,9927310.0,149435.0,0.014829689547567195
299,2021-01-04,India,10340469,243953.0,9946867.0,149649.0,0.01482184547620189
300,2021-01-05,India,10356844,231036.0,9975958.0,149850.0,0.014798819017702093
301,2021-01-06,India,10374932,227546.0,9997272.0,150114.0,0.014793366488670088
302,2021-01-07,India,10395278,228083.0,10016859.0,150336.0,0.014786379134067952
303,2021-01-08,India,10413417,225449.0,10037398.0,150570.0,0.01477919836418803
304,2021-01-09,India,10431639,224190.0,10056651.0,150798.0,0.014773328771958597
305,2021-01-10,India,10450284,223335.0,10075950.0,150999.0,0.014764814022246518
306,2021-01-11,India,10466595,222526.0,10092909.0,151160.0,0.014755855314914416
307,2021-01-12,India,11533941,216751.0,11156334.0,160856.0,0.014213422236438551
308,2021-01-13,India,10495147,214507.0,10129111.0,151529.0,0.014739257478133656
309,2021-01-14,India,10512093,213603.0,10146763.0,151727.0,0.014732936576138831
310,2021-01-15,India,10527683,213027.0,10162738.0,151918.0,0.014728363214439726
311,2021-01-16,India,10542841,211033.0,10179715.0,152093.0,0.014720850406821343
312,2021-01-17,India,10557985,208826.0,10196885.0,152274.0,0.014713659341788062
313,2021-01-18,India,10571773,208012.0,10211342.0,152419.0,0.014706919621168416
314,2021-01-19,India,10581837,200528.0,10228753.0,152556.0,0.014695256638637768
315,2021-01-20,India,10595660,197201.0,10245741.0,152718.0,0.01468659923552134
316,2021-01-21,India,10610883,192308.0,10265706.0,152869.0,0.014672735954773086
317,2021-01-22,India,10625428,188688.0,10283708.0,153032.0,0.014662816166734058
318,2021-01-23,India,10639684,185662.0,10300838.0,153184.0,0.014653116283857065
319,2021-01-24,India,10654533,184408.0,10316786.0,153339.0,0.01464538388987715
320,2021-01-25,India,10667736,184182.0,10330084.0,153470.0,0.014639119519964317
321,2021-01-27,India,10689527,176498.0,10359305.0,153724.0,0.014622236845346855
322,2021-01-28,India,10701193,173740.0,10373606.0,153847.0,0.014613886188805592
323,2021-01-29,India,10720048,171686.0,10394352.0,154010.0,0.014600371128711737
324,2021-01-30,India,10733131,169824.0,10409160.0,154147.0,0.014592683900979116
325,2021-01-31,India,10746183,168784.0,10423125.0,154274.0,0.014585249171370013
326,2021-02-01,India,10757610,168235.0,10434983.0,154392.0,0.014579897302720888
327,2021-02-02,India,10766245,163353.0,10448406.0,154486.0,0.014570175759594647
328,2021-02-03,India,10777284,160057.0,10462631.0,154596.0,0.014560864150309681
329,2021-02-04,India,10790183,155025.0,10480455.0,154703.0,0.014546375333586957
330,2021-02-05,India,10802591,151460.0,10496308.0,154823.0,0.014535827228113146
331,2021-02-06,India,10814304,148590.0,10510796.0,154918.0,0.01452485975153656
332,2021-02-07,India,10826363,148766.0,10522601.0,154996.0,0.014516000182438052
333,2021-02-08,India,10838194,148609.0,10534505.0,155080.0,0.014507579106204777
334,2021-02-09,India,10847304,143625.0,10548521.0,155158.0,0.014495763559426623
335,2021-02-10,India,10858371,141511.0,10561608.0,155252.0,0.014486705994106482
336,2021-02-11,India,10871294,142562.0,10573372.0,155360.0,0.014480741992623173
337,2021-02-12,India,10880603,135926.0,10589230.0,155447.0,0.014467349739782778
338,2021-02-13,India,10892746,136571.0,10600625.0,155550.0,0.014461460509893154
339,2021-02-14,India,10904940,137567.0,10611731.0,155642.0,0.01445496501328597
340,2021-02-15,India,10916589,139637.0,10621220.0,155732.0,0.014450467998743987
341,2021-02-16,India,10925710,136872.0,10633025.0,155813.0,0.014442055761704828
342,2021-02-17,India,10937320,136549.0,10644858.0,155913.0,0.01443535836469452
343,2021-02-18,India,10950201,137342.0,10656845.0,156014.0,0.014428561400828403
344,2021-02-19,India,10963394,139542.0,10667741.0,156111.0,0.014422869048837697
345,2021-02-20,India,10977387,143127.0,10678048.0,156212.0,0.014418335908497674
346,2021-02-21,India,10991651,145634.0,10689715.0,156302.0,0.014411004518986094
347,2021-02-22,India,11005850,150055.0,10699410.0,156385.0,0.014405669967054462
348,2021-02-23,India,11016434,147306.0,10712665.0,156463.0,0.014395175031520468
349,2021-02-24,India,11030176,146907.0,10726702.0,156567.0,0.014386026845426681
350,2021-02-25,India,11046914,151708.0,10738501.0,156705.0,0.01438293135531352
351,2021-02-26,India,11063491,155986.0,10750680.0,156825.0,0.014377715160341434
352,2021-02-27,India,11079979,159590.0,10763451.0,156938.0,0.014371099784082783
353,2021-03-01,India,11112241,168627.0,10786457.0,157157.0,0.014360612499673325
354,2021-03-02,India,11124527,168358.0,10798921.0,157248.0,0.01435246206954274
355,2021-03-03,India,11139516,170126.0,10812044.0,157346.0,0.01434409752958004
356,2021-03-04,India,11156923,173413.0,10826075.0,157435.0,0.014333760337087142
357,2021-03-06,India,11192088,180304.0,10854128.0,157656.0,0.014317026196663502
358,2021-03-07,India,11210799,184523.0,10868520.0,157756.0,0.014307278359438853
359,2021-03-08,India,11229398,188747.0,10882798.0,157853.0,0.014297435903009704
360,2021-03-09,India,11244786,187462.0,10899394.0,157930.0,0.01428284094777362
361,2021-03-10,India,11262707,184598.0,10920046.0,158063.0,0.014268048815912536
